Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year
Costa Rica,7.087,1.06879,0.76146,0.55225,0.10547,0.22553,1.02152,2016
Puerto Rico,7.039,1.35943,0.77758,0.46823,0.12275,0.22202,1.08113,2016
Germany,6.994,1.44787,0.81487,0.53466,0.28551,0.30452,1.09774,2016
Brazil,6.952,1.08754,0.61415,0.40425,0.14166,0.15776,1.03938,2016
Belgium,6.929,1.42539,0.81959,0.51354,0.26248,0.2424,1.05249,2016
Ireland,6.907,1.48341,0.81455,0.54008,0.29754,0.44963,1.16157,2016
Luxembourg,6.871,1.69752,0.84542,0.5487,0.35329,0.27571,1.03999,2016
Mexico,6.778,1.11508,0.71143,0.37709,0.18355,0.11735,0.7146,2016
Singapore,6.739,1.64555,0.94719,0.4877,0.46987,0.32706,0.86758,2016
United Kingdom,6.725,1.40283,0.80991,0.50036,0.27399,0.50156,1.08672,2016
Chile,6.705,1.2167,0.81883,0.37789,0.11451,0.31595,0.90587,2016
Panama,6.701,1.18306,0.70835,0.48927,0.08423,0.2418,0.98912,2016
Argentina,6.65,1.15137,0.69711,0.42284,0.07296,0.10989,1.06612,2016
Czech Republic,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,1.00793,2016
United Arab Emirates,6.573,1.57352,0.72993,0.56215,0.35561,0.26591,0.87114,2016
Uruguay,6.545,1.18157,0.72183,0.54388,0.21394,0.18056,1.03143,2016
Malta,6.488,1.30782,0.80315,0.54994,0.17554,0.56237,1.09879,2016
Colombia,6.481,1.03032,0.59659,0.44735,0.05399,0.15626,1.02169,2016
France,6.478,1.39488,0.83795,0.46562,0.17808,0.1216,1.00508,2016
Thailand,6.474,1.0893,0.64915,0.49553,0.02833,0.58696,1.04477,2016
Saudi Arabia,6.379,1.48953,0.59267,0.37904,0.30008,0.15457,0.84829,2016
Taiwan,6.379,1.39729,0.79565,0.32377,0.0663,0.25495,0.92624,2016
Qatar,6.375,1.82427,0.71723,0.56679,0.48049,0.32388,0.87964,2016
Spain,6.361,1.34253,0.87896,0.37545,0.06137,0.17665,1.12945,2016
Algeria,6.355,1.05266,0.61804,0.21006,0.16157,0.07044,0.83309,2016
Guatemala,6.324,0.83454,0.54039,0.50379,0.08701,0.28808,0.87119,2016
Suriname,6.269,1.09686,0.50933,0.52234,0.12692,0.16665,0.77866,2016
Kuwait,6.239,1.61714,0.63569,0.43166,0.23669,0.15965,0.87758,2016
Bahrain,6.218,1.44024,0.65696,0.47375,0.25772,0.17147,0.94397,2016
Trinidad and Tobago,6.168,1.32572,0.52608,0.48453,0.01241,0.31935,0.98569,2016
Venezuela,6.084,1.13367,0.61904,0.19847,0.08304,0.0425,1.03302,2016
Slovakia,6.078,1.27973,0.70367,0.23391,0.02947,0.13837,1.08268,2016
El Salvador,6.068,0.8737,0.596,0.37269,0.10613,0.08877,0.80975,2016
Malaysia,6.005,1.25142,0.62366,0.39031,0.09081,0.41474,0.88025,2016
Nicaragua,5.992,0.69384,0.65213,0.46582,0.16292,0.29773,0.89521,2016
Uzbekistan,5.987,0.73591,0.50163,0.60848,0.28333,0.34326,1.1681,2016
Italy,5.977,1.35495,0.85102,0.18827,0.02556,0.16684,1.04167,2016
Ecuador,5.976,0.97306,0.68613,0.4027,0.18037,0.10074,0.85974,2016
Belize,5.956,0.87616,0.45569,0.51231,0.10771,0.23684,0.68655,2016
Japan,5.921,1.38007,0.91491,0.46761,0.18985,0.10224,1.06054,2016
Kazakhstan,5.919,1.22943,0.57386,0.4052,0.11132,0.15011,0.95544,2016
Moldova,5.897,0.69177,0.52309,0.25202,0.01903,0.19997,0.83132,2016
Russia,5.856,1.23228,0.58991,0.32682,0.03586,0.02736,1.05261,2016
Poland,5.835,1.24585,0.69058,0.4519,0.055,0.14443,1.04685,2016
South Korea,5.835,1.35948,0.88645,0.25168,0.07716,0.18824,0.72194,2016
Bolivia,5.822,0.79422,0.4697,0.50961,0.07746,0.21698,0.83779,2016
Lithuania,5.813,1.2692,0.64674,0.18929,0.0182,0.02025,1.06411,2016
Belarus,5.802,1.13062,0.63104,0.29091,0.17457,0.13942,1.04993,2016
North Cyprus,5.771,1.31141,0.84142,0.43596,0.16578,0.26322,0.81826,2016
Slovenia,5.768,1.29947,0.79151,0.53164,0.03635,0.25738,1.05613,2016
Peru,5.743,0.99602,0.62994,0.37502,0.05292,0.14527,0.81255,2016
Turkmenistan,5.658,1.08017,0.44006,0.37408,0.28467,0.22567,1.03817,2016
Mauritius,5.648,1.14372,0.66189,0.46145,0.05203,0.36951,0.75695,2016
Libya,5.615,1.06688,0.52304,0.40672,0.10339,0.17087,0.95076,2016
Latvia,5.56,1.21788,0.63952,0.27996,0.0889,0.17445,0.95025,2016
Cyprus,5.546,1.31857,0.8488,0.29507,0.05228,0.27906,0.70697,2016
Paraguay,5.538,0.89373,0.58295,0.46235,0.07396,0.25296,1.11111,2016
Romania,5.528,1.1697,0.67602,0.36712,0.00679,0.12889,0.72803,2016
Estonia,5.517,1.27964,0.68098,0.41511,0.18519,0.08423,1.05163,2016
Jamaica,5.51,0.89333,0.59469,0.43597,0.04294,0.22245,0.96372,2016
Croatia,5.488,1.18649,0.70524,0.23907,0.04002,0.18434,0.60809,2016
Hong Kong,5.458,1.5107,0.95277,0.48079,0.31647,0.40097,0.87021,2016
Somalia,5.44,0.0,0.11466,0.56778,0.3118,0.27225,0.33613,2016
